Provinsi / Kabupaten / Kota,2017,2016,2015,2014,2013,2012,2011,2010
LAMPUNG TIMUR,9453,9416,9194.29,8814,8756,8542,8328,8086
LAMPUNG TENGAH,10820,10674,10297.88,9935,9895,9671,9612,9468
LAMPUNG UTARA,8369,8212,7729.42,7567,7513,7276,7142,6950
WAY KANAN,8522,8411,8312.6,8278,8243,8114,8023,7871
TULANGBAWANG,10098,10034,9893.28,9796,9751,9539,9393,9188
PESAWARAN,7449,7055,6744.01,6680,6570,6255,6050,5791
PRINGSEWU,9731,9533,9020.42,8992,8934,8630,8433,-
MESUJI,7319,7099,6836.32,6764,6706,6503,6402,-
TULANGBAWANG BARAT,7747,7450,7331.63,7137,7045,6814,6687,-
PESISIR BARAT,7890,7616,7250.62,7169,7085,-,-,-
KOTA BANDAR LAMPUNG,11699,11266,11090.21,10702,10618,10429,10282,10209
KOTA METRO,11397,11007,10706.82,10606,10494,10281,10061,9953
KEP. BANGKA BELITUNG,12066,11960,11780.86,11691,11657,11218,10808,10707
BANGKA,11420,11279,10903.67,10679,10647,10320,10019,9583
BELITUNG,12910,12865,12442.74,12375,12344,11874,11433,11302
BANGKA BARAT,11394,11303,11242.54,11154,11122,10680,10265,10064
BANGKA TENGAH,12330,12248,12210.45,12170,12133,11544,10988,10921
BANGKA SELATAN,10999,10932,10824.32,10633,10609,10216,9851,9795
BELITUNG TIMUR,10894,10729,10523.22,10272,10233,9760,9647,9533
KOTA PANGKAL PINANG,14923,14807,14706.85,14619,14507,14132,13784,13746
KEP. RIAU,13566,13359,13176.79,13019,12942,12740,12513,12267
KARIMUN,11713,11468,11248.19,11090,11053,10876,10673,10449
BINTAN,13828,13667,13528.81,13477,13441,13270,13077,12837
NATUNA,13970,13834,13611.67,13414,13389,13253,13101,12958
LINGGA,11421,11280,11158.41,10949,10913,10739,10539,10317
KEPULAUAN ANAMBAS,11654,11320,11251.16,11182,11112,10762,10382,9992
KOTA BATAM,17131,16889,16825.62,16735,16639,16479,16290,16078
KOTA TANJUNG PINANG,14881,14645,14446.1,14141,14048,13800,13528,13237
